fecha,camasServicioHG,camasServicioNoUCIVentiladores,camasServicioUCI,camasServicioUCI_NoUCIVent,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-01,127,0,52,52,90,0,52,52
2020-04-02,178,-2,63,61,129,-2,63,61
2020-04-03,138,32,193,225,129,-2,27,25
2020-04-04,324,61,411,472,287,-3,54,51
2020-04-05,316,85,402,487,278,20,55,75
2020-04-06,296,85,374,459,253,26,50,76
2020-04-07,525,93,582,675,262,13,40,53
2020-04-08,813,428,1001,1429,527,60,67,127
2020-04-09,880,583,1291,1874,743,85,104,189
2020-04-10,782,539,1286,1825,672,79,68,147
2020-04-11,1004,599,1578,2177,887,100,117,217
2020-04-12,1218,557,1507,2064,949,85,98,183
2020-04-13,1101,612,1569,2181,915,115,95,210
2020-04-14,966,616,1453,2069,790,116,123,239
2020-04-15,1000,689,1405,2094,885,129,120,249
2020-04-16,1130,664,1500,2164,992,84,110,194
2020-04-17,1195,755,1650,2405,1079,155,121,276
2020-04-18,1294,745,1594,2339,1162,148,127,275
2020-04-19,1328,801,1736,2537,1198,185,141,326
2020-04-20,1368,724,1617,2341,1236,124,97,221
2020-04-21,1570,1038,1933,2971,1437,217,179,396
2020-04-22,1466,1399,1908,3307,1296,196,99,295
2020-04-23,1758,1354,1877,3231,1593,173,189,362
2020-04-24,1816,1418,2153,3571,1646,244,188,432
2020-04-25,1763,1404,2168,3572,1605,253,174,427
2020-04-26,1936,1408,2135,3543,1781,281,212,493
2020-04-27,2281,1493,2183,3676,2084,325,281,606
2020-04-28,2437,951,2301,3252,2303,360,302,662
2020-04-29,2888,870,2463,3333,2765,345,342,687
2020-04-30,3056,829,2340,3169,2933,369,371,740
2020-05-01,3410,874,2491,3365,3297,396,372,768
2020-05-02,3634,863,2581,3444,3450,357,390,747
2020-05-03,3448,866,2293,3159,3294,389,378,767
2020-05-04,3497,798,2337,3135,3349,314,394,708
2020-05-05,3724,841,2327,3168,3570,342,407,749
2020-05-06,3507,804,2125,2929,3365,396,400,796
2020-05-07,3726,769,2114,2883,3588,329,426,755
2020-05-08,4023,791,2429,3220,3762,371,487,858
2020-05-09,3999,751,2221,2972,3861,326,448,774
2020-05-10,3852,766,2145,2911,3714,356,410,766
2020-05-11,4459,752,2563,3315,4113,329,500,829
2020-05-12,4583,826,2670,3496,4280,397,540,937
2020-05-13,4444,931,2439,3370,4193,446,498,944
2020-05-14,4546,916,2448,3364,4354,463,502,965
2020-05-15,4838,776,2636,3412,4474,411,543,954
2020-05-16,4682,861,2408,3269,4550,463,521,984
2020-05-17,4854,870,2422,3292,4673,454,519,973
2020-05-18,4873,916,2543,3459,4713,466,517,983
2020-05-19,5029,798,2767,3565,4715,389,616,1005
2020-05-20,4908,943,2809,3752,4634,489,626,1115
2020-05-21,4837,1006,2909,3915,4595,514,665,1179
2020-05-22,4955,942,3135,4077,4549,501,695,1196
2020-05-23,4435,996,2750,3746,4300,533,602,1135
2020-05-24,4334,979,2659,3638,4205,492,570,1062
2020-05-25,4889,903,3235,4138,4421,504,632,1136
2020-05-26,4948,982,3158,4140,4556,550,682,1232
2020-05-27,4826,1060,3002,4062,4515,489,678,1167
2020-05-28,4712,1144,2736,3880,4438,577,577,1154
2020-05-29,4719,1117,2745,3862,4410,548,603,1151
2020-05-30,4674,1079,2200,3279,4298,573,537,1110
2020-05-31,4339,1076,1592,2668,4210,573,505,1078
2020-06-01,4510,1062,1706,2768,4366,568,563,1131
2020-06-02,4849,1073,2078,3151,4508,587,594,1181
2020-06-03,4589,1127,1635,2762,4466,625,557,1182
2020-06-04,4582,1131,1763,2894,4410,583,570,1153
2020-06-05,4553,1114,1736,2850,4415,586,556,1142
2020-06-06,4321,993,1477,2470,4201,530,459,989
2020-06-07,4389,1060,1655,2715,4264,558,512,1070
2020-06-08,4477,1043,1802,2845,4341,504,634,1138
2020-06-09,4553,1101,1635,2736,4422,535,524,1059
2020-06-10,4565,1146,1769,2915,4439,562,561,1123
2020-06-11,4568,1147,1793,2940,4436,570,562,1132
2020-06-12,4392,1161,1737,2898,4253,554,495,1049
2020-06-13,4177,1112,1905,3017,4060,556,535,1091
2020-06-14,4118,1092,1956,3048,3979,545,499,1044
2020-06-15,4275,1124,2037,3161,4114,547,561,1108
2020-06-16,4103,1114,2030,3144,3945,540,525,1065
2020-06-17,4117,1146,1952,3098,3944,558,492,1050
2020-06-18,4135,1186,2222,3408,3958,566,477,1043
2020-06-19,4301,1231,2307,3538,4100,561,530,1091
2020-06-20,3857,1184,2150,3334,3687,528,434,962
2020-06-21,3829,996,2125,3121,3668,451,452,903
2020-06-22,4090,1322,2545,3867,3873,590,549,1139
2020-06-23,3985,1166,2290,3456,3780,512,507,1019
2020-06-24,4105,1272,2624,3896,3864,521,529,1050
2020-06-25,3932,1301,2635,3936,3717,569,513,1082
2020-06-26,3869,1229,2606,3835,3665,548,511,1059
2020-06-27,3489,1142,2497,3639,3291,532,429,961
2020-06-28,3472,1077,2470,3547,3261,526,427,953
2020-06-29,3642,1270,2576,3846,3445,614,460,1074
2020-06-30,3942,1164,3593,4757,3626,524,451,975
2020-07-01,3933,1095,2979,4074,3648,449,479,928
2020-07-02,3725,1239,3127,4366,3474,552,409,961
2020-07-03,3889,1303,3430,4733,3648,564,498,1062
2020-07-04,3621,1225,3213,4438,3417,503,435,938
2020-07-05,3417,1107,3053,4160,3253,445,429,874
2020-07-06,3760,1268,3501,4769,3535,498,532,1030
2020-07-07,3709,1123,3466,4589,3497,415,521,936
2020-07-08,3709,1299,3557,4856,3512,456,544,1000
2020-07-09,3479,1326,3492,4818,3297,456,504,960
